515581987151675395,7CE5,False
903304378331586591,DC37,False
903471730406858842,F418,False
740913814299738132,FD4C,False
537351927038476329,6A11,False
755185784125915247,528A,False
334034014929420298,C137,False
492763231887163403,141C,False
445059370124967937,AC15,False
564140299941838848,4559,False
170621144964005888,C124,False
1010612280523759697,E409,False
295690031496953857,369A,True
325677246667030529,6663,False
478982344695611395,9C01,False
691080861520756736,270C,False
363463367647690753,8F89,False
718230978543222895,FDE2,False
839318942140727308,72A8,False
640301299627327514,9923,False
301492903597965313,2C5F,False
201408646653935616,27B1,False
516317753821495307,CF38,False
306600308010647553,187A,False
712063743038849144,DB19,False
666311757505101846,E971,False
308236989680058368,AB17,False
562749166711996427,F71D,False
530535605487009802,E160,False
471503501227327520,B4F4,False
858075045624676402,57C6,False
794023853755334687,90C8,False
878983452706353213,9130,False
331495152205955077,8E4D,False
1037901860931125248,3547,False
272784175432597504,A031,True
